source_name,article_count
CBC News,97
Financial Post,63
nationalpost.com,21
680news.com,20
nationalobserver.com,20
National Post,18
torontosun,18
winnipegsun,17
globalnews,15
Biztoc.com,15
National Observer,11
nationalnewswatch.com,10
winnipegfreepress.com,10
globalnews.ca,9
Global News,6
financialpost.com,6
breitbart.com,5
nationalpost,5
Yahoo Entertainment,5
upstract.com,3
Globalsecurity.org,3
Freerepublic.com,3
NPR,3
New York Post,3
PBS,3
canadafreepress,3
nbcnews.com,3
Foreign Policy,4
The Globe And Mail,4
Fortune,4
thewalrus.ca,4
abcnews.go.com,4
Castanet,2
The New Republic,2
Business Insider,2
ABC News,2
cp24.com,2
marketbeat,2
CBS News,2
Newser,2
online.wsj.com,2
Associated Press,2
theweek.com,2
The New York Times,2
Citynews.ca,2
inquisitr.com,2
sportsnet.ca,2
citynews1130.com,2
thenarwhal.ca,2
Akron Beacon Journal,2
Wnd.com,2
Deadline,2
financialpost,1
nationalreview,1
Breitbart News,1
Daily Signal,1
Brooklyn Vegan,1
Bnn Bloomberg,1
Fair Observer,1
MobileSyrup,1
The Washington Post,1
Kamloops This Week,1
Chicago Tribune,1
BayToday,1
Richmond News,1
canadianunderwriter,1
Headtopics.com,1
ctvnews,1
Toronto Sun,1
Phys.org,1
Epoch Times,1
meridiansource,1
mymotherlode,1
Boston Herald,1
news18.com,1
straight.com,1
news.sky.com,1
opencanada.org,1
benzinga.com,1
thenation.com,1
joemygod.com,1
foreignpolicy.com,1
sluggerotoole.com,1
jewishpress.com,1
foxnews.com,1
cbsnews.com,1
ctvnews.ca,1
theconversation.com,1
dailycaller.com,1
nypost.com,1
Wonkette.com,1
International Business Times,1
The Atlantic,1
Daily Hive,1
The Week Magazine,1
Politicalwire.com,1
Adweek,1
NBC News,1
theyucatantimes.com,1
Mother Jones,1
Rolling Out,1
BBC News,1
USA Today,1
Techdirt,1
Forbes,1
globalmontreal,1