publishedAt,title,description,url,source_name,topic,original_row
2022-10-20,"Recession in Canada ‘probable’ next year, ex-Bank of Canada governor Mark Carney says",National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2022/10/20/recession-in-canada-probable-next-year-ex-bank-of-canada-governor-mark-carney-says/,nationalnewswatch.com,Political Commentary,5
2023-09-29,Tasha Kheiriddin: Mark Carney jumpstarts Trudeau death watch,This isn’t the only such speech Carney has given lately,https://nationalpost.com/opinion/tasha-kheiriddin-mark-carney-jumpstarts-trudeau-death-watch,nationalpost.com,Political Commentary,11
2023-11-09,"Ottawa MP Mona Fortier denies rumours of imminent resignation, replacement by Mark Carney",National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/11/09/ottawa-mp-mona-fortier-denies-rumours-of-imminent-resignation-replacement-by-mark-carney/,nationalnewswatch.com,Political Party Affair,17
2024-09-09,Mark Carney set to take on role as Trudeau special advisor: source - National,"Mark Carney is set to arrive in Nanaimo, B.C., on Monday and will speak to Liberal MPs at their summer caucus retreat on the topic of growth and the economy.",https://globalnews.ca/news/10740296/mark-carney-advisor-justin-trudeau/,globalnews.ca,Political Party Affair,23
2024-09-10,"Mark Carney silent on his political future, carbon tax at Liberal caucus retreat","The former Bank of Canada governor has been touted as a possible leadership contender to replace PM Justin Trudeau, who is struggling in polls",https://nationalpost.com/news/politics/mark-carney-silent-on-political-future-carbon-tax,nationalpost.com,Political Party Affair,29
2025-01-14,"Liberals prefer Mark Carney over Chrystia Freeland as next leader, poll suggests","A new poll suggests that Liberal supporters prefer Mark Carney as their next leader over a field of potential candidates. Polling firm Leger surveyed around 1,5...",https://toronto.citynews.ca/2025/01/14/liberals-prefer-mark-carney-over-chrystia-freeland-as-next-leader-poll-suggests/,680news.com,Elections,35
2025-01-16,CBU political science prof weighs in on Mark Carney announcement,"In an interview with Amy Smith, Tom Urbaniak says Carney has been hovering around Liberal leadership prospects for a long time, but he has to do more to become ...",https://www.cbc.ca/player/play/video/9.6615476,cbc.ca,Political Commentary,41
2025-02-05,Geoff Russ: The astroturfing of Mark Carney,"The Carney campaign is working to convince Canada that he's someone he is not, all for the benefit of the desperate Liberals",https://nationalpost.com/opinion/geoff-russ-the-astroturfing-of-mark-carney,nationalpost.com,Political Commentary,47
2025-02-18,WATCH: Who is Mark Carney?,"Philip Cross, former chief economic analyst at Statistics Canada, sits down with NP to discuss Mark Carney",https://nationalpost.com/opinion/watch-who-is-mark-carney,nationalpost.com,Political Commentary,53
2025-02-27,Conservatives attack Mark Carney over his firm's relocation to the U.S.,"On Wednesday, the Conservative party accused Carney of lying to the media after Tuesday's Liberal leadership debate and of indirectly helping U.S. President Don...",https://www.nationalobserver.com/2025/02/27/news/conservatives-mark-carney-firm-brookfield-relocation-us,nationalobserver.com,Political Commentary,59
2025-03-09,Canada’s Liberal Party elects Mark Carney to replace Justin Trudeau,Canada’s Liberal Party on Sunday elected Mark Carney as the party’s new leader after a high-stakes race to replace Prime Minister Justin Trudeau. NBC News?...,https://www.nbcnews.com/nightly-news/video/canada-s-liberal-party-elects-mark-carney-to-replace-justin-trudeau-233913413630,nbcnews.com,Elections,65
2025-03-10,Liberals turn to transition plans after Mark Carney installed as new leader,"OTTAWA — Liberal MPs are gathering on Parliament Hill this afternoon to huddle after the party selected its new leader, former Bank of Canada governor Mark Ca...",https://toronto.citynews.ca/2025/03/10/liberals-turn-to-transition-plans-after-mark-carney-installed-as-new-leader/,680news.com,Politcal Commentary,71
2025-03-10,Liberals meet to plan transition after Mark Carney chosen as leader,"Liberal MPs are gathering on Parliament Hill this afternoon to huddle after the party selected its new leader, former Bank of Canada governor Mark Carney.",https://www.nationalobserver.com/2025/03/10/news/liberals-plan-transition-mark-carney-leader,nationalobserver.com,Elections,77
2025-03-12,Mark Carney to be sworn in as prime minister Friday: sources,"Prime minister-designate Mark Carney and his cabinet will be sworn in on Friday at Rideau Hall, Radio-Canada and CBC News have learned.",https://www.cbc.ca/news/politics/carney-swearing-in-friday-1.7482023?cmp=rss,cbc.ca,Elections,83
2025-03-14,Mark Carney could be Canada's shortest-serving prime minister,"Mark Carney was sworn in as Canada’s prime minister on Friday — and depending on the outcome of the next election, he could be the country’s shortest-serv...",https://www.cbc.ca/news/politics/mark-carney-charles-tupper-shortest-prime-minister-1.7484061?cmp=rss,cbc.ca,Political Commentary,89
2025-03-16,Mark Carney marches in Montreal's St. Patrick's Day parade,Prime Minister Mark Carney marched in Montreal's St. Patrick's Day parade today as the event marked its 200th anniversary.,https://toronto.citynews.ca/2025/03/16/prime-minister-mark-carney-marches-in-montreals-st-patricks-day-parade-celebration/,680news.com,Cultural Events,95
2025-03-20,Mark Carney takes canada's carbon tax stage,"Anti-carbon tax rhetoric has taken over climate policy, leaving a meaningless rhyme in place of an emissions reduction plan",https://thenarwhal.ca/mark-carney-canada-carbon-tax/,thenarwhal.ca,Political Commentary,101
2025-03-21,Prime Minister Mark Carney hosts meeting with Canada’s premiers today,Meeting takes place days before Carney is expected to launch a federal election that would send Canadians to the polls as soon as April 28.,https://nationalpost.com/news/canada/prime-minister-mark-carney-hosts-meeting-with-canadas-premiers-today,nationalpost.com,Political Party Affair,107
2025-03-25,Nepean's Mark Carney surprise further disrupts the local race,The Liberal leader is vying for a seat in Nepean. And some residents of the riding said that could sway their vote.,https://www.cbc.ca/news/canada/ottawa/mark-carney-ottawa-nepean-riding-1.7491293?cmp=rss,cbc.ca,Trade Disputes,113
2025-03-29,Canadian PM Mark Carney Calls First Trump Talk 'Constructive' Amid Looming Tariff Threat Canadian PM Mark Carney Calls First Trump Talk ‘Constructive’ Amid Looming Tariff Threat,Canadian Prime Minister Carney reportedly described his first conversation with President Trump as,https://www.benzinga.com/markets/equities/25/03/44550892/canadian-pm-mark-carney-calls-first-trump-talk-constructive-amid-looming-tariff-threat,benzinga.com,Trade Disputes,119
2025-04-26,Will Brookfield benefit if Mark Carney is elected?,"In this edition of our fact-check series, we dig into claims that Mark Carney's election as Prime Minister will directly benefit his former employer, Brookfield...",https://www.nationalobserver.com/2025/04/25/analysis/mark-carney-brookfield-election-2025,nationalobserver.com,Political Commentary,125
2025-04-29,What Mark Carney And Liberals' Victory Means For India-Canada Relationship,Mark Carney and the Liberal Party's victory in the Canadian federal elections has set in motion a potential reset of one of the country's most strained internat...,https://www.ndtv.com/world-news/canada-elections-results-2025-live-what-mark-carney-and-liberals-victory-means-for-india-canada-relationship-8283860,ndtv.com,International Relations,131
2025-05-06,Canadian Prime Minister Mark Carney Calls Trump 'Transformational President',"Canadian Prime Minister Mark Carney complimented President Donald Trump as a ""transformational president"" during his visit to the White House on Tuesday.",https://www.breitbart.com/politics/2025/05/06/canadian-prime-minister-mark-carney-calls-trump-a-transformational-president/,breitbart.com,International Relations,137
2025-05-18,Prime Minister Mark Carney says Liberals will table a budget this fall,Prime Minister Mark Carney said Sunday morning in Rome that his Liberal government will table a budget this fall — a decision he argued is the right one becau...,https://www.cbc.ca/news/politics/federal-budget-mark-carney-1.7538248?cmp=rss,cbc.ca,Federal Budget,143
2025-06-16,Canadian PM Mark Carney Praises Trump’s Boldness in Addressing World’s ‘Massive Changes’,"Canadian Prime Minister Mark Carney praised President Donald Trump for his ""bold measures"" to address substantial changes around the globe.",https://www.breitbart.com/politics/2025/06/16/carney-praises-trumps-boldness-in-addressing-worlds-massive-changes/,breitbart.com,International Relations,149
2025-07-26,Can Mark Carney move fast and not break things?,"It's easy to move fast if you're not worried about breaking things. The greater challenge is moving fast while fixing, improving and building things.",https://www.cbc.ca/news/politics/carney-c5-spending-defence-housing-analysis-1.7593926?cmp=rss,cbc.ca,Federal Budget,155
2025-08-05,"Prime Minister Mark Carney scheduled to visit Kelowna, B.C., Tuesday","KELOWNA — Prime Minister Mark Carney is scheduled to be in Kelowna, B.C., for an announcement at a lumber facility on Tuesday after attending the Vancouver Pr...",https://toronto.citynews.ca/2025/08/05/prime-minister-mark-carney-scheduled-to-visit-kelowna-b-c-tuesday/,680news.com,Political Party Affair,161
2025-09-16,Chrystia Freeland exits Cabinet of Canadian Prime Minister Mark Carney,Chrystia Freeland is leaving the Cabinet of new Prime Minister Mark Carney,https://abcnews.go.com/International/wireStory/chrystia-freeland-exits-cabinet-canadian-prime-minister-mark-125630410,abcnews.go.com,Political Party Affair,167
2025-10-10,PM Mark Carney defends paying 2 CEO appointees huge salaries,Carney defended his decision to pay the CEOs of two new government offices annual salaries that are higher than his own cabinet ministers.,https://vancouver.citynews.ca/2025/10/10/carney-defends-paying-2-ceo-appointees-upwards-of-577000-a-year/,citynews1130.com,Political Party Affair,173
2025-10-24,Ontario premier says he’ll pull ad that upset Trump so U.S.-Canada trade talks can resume,The leader of Canada’s most populous province said Friday he’ll pull the anti-tariff ad that prompted U.S. President Donald Trump to end trade talks with Canada.,https://www.pbs.org/newshour/world/ontario-premier-says-hell-pull-ad-that-upset-trump-so-u-s-canada-trade-talks-can-resume,PBS,Trade Disputes,179
2025-10-24,Ontario to pause anti-tariff Reagan ads after Trump calls off trade talks with Canada,Ontario Premier Doug Ford said the ad will still run during the World Series between the Blue Jays and Dodgers.,https://nypost.com/2025/10/24/us-news/ontario-to-pause-anti-tariff-reagan-ads-after-trump-calls-off-trade-talks-with-canada/,New York Post,Trade Disputes,185
2025-10-25,Trump ends Canada access at shared border library,"In a picturesque town on the US-Canada border, workers under dark clouds were building a new entrance for Canadians into a library to replace one that had...",https://www.yahoo.com/news/articles/trump-ends-canada-access-shared-010835662.html,Yahoo Entertainment,Trade Disputes,191
2025-10-25,"‘I can play dirtier than they can, you know’: Trump’s fury at a Canadian ad about Reagan, tariffs and trade","Ontario Premier Doug Ford, who is pulling the ad, insisted it's had the intended effect of initiating a ""conversation"" about trade with the U.S.",https://fortune.com/2025/10/25/why-trump-canada-reagan-ad-dispute-tariffs-trade-ontario/,Fortune,Trade Disputes,197
2025-10-25,Charting the Global Economy: Tame US CPI Supports More Fed Rate Cuts,"A delayed snapshot of US inflation in September came in softer than expected, potentially offering a path for the Federal Reserve to cut interest rates beyond next week’s meeting.",https://financialpost.com/pmn/business-pmn/charting-the-global-economy-tame-us-cpi-supports-more-fed-rate-cuts,Financial Post,Trade Disputes,203
2025-10-25,Trump punishes Canada with 10% extra import tax for not pulling down ad sooner,"President Donald Trump says he plans to hike tariffs on imports of Canadian goods by an extra 10% because of an anti-tariff television ad aired by the province of Ontario. The ad used the words of former President Ronald Reagan to criticize U.S. tariffs, ange…",https://apnews.com/article/trump-canada-tariffs-3cbc1cbf9ed53a10b442fd55dae1e0a3,Associated Press,Trade Disputes,209
2025-10-25,Trump says he's increasing Canada tariffs by 10% after Reagan ad,U.S. President Donald Trump announced an additional 10% in tariffs on Canada due to an Ontario ad that is critical of the levies. Read more.,https://financialpost.com/news/trump-raise-canada-tariff-10-reagan-ad,Financial Post,Trade Disputes,215
2025-10-25,Trump announces additional 10-per-cent tariff on Canada over Ontario ad,U.S. President Donald Trump announced an additional 10 per cent tariff on Canada on Saturday because the Ontario government didn’t immediately pull down an anti-tariff ad it was running in U.S. markets. The tariff will be “over and above what they are paying …,https://financialpost.com/pmn/trump-announces-additional-10-per-cent-tariff-on-canada-over-ontario-ad,Financial Post,Trade Disputes,221
2025-10-26,Carney pushes back on provinces spoiling for a fight with Trump,Prime Minister Mark Carney distanced himself from Ontario Premier Doug Ford's interventions on trade following and tariffs. Read more.,https://financialpost.com/news/carney-provinces-spoiling-fight-trump,Financial Post,Trade Disputes,227
2025-10-27,"The Latest: Trump set to arrive in Japan, where he'll meet new Prime Minister Takaichi",U.S. President Donald Trump arrives Monday in Japan where he’ll meet new Prime Minister Sanae Takaichi for the first time.  Trump spent Sunday in Malaysia...,https://www.yahoo.com/news/articles/latest-trump-set-arrive-japan-065938083.html,Yahoo Entertainment,Unrelated News,233
2025-10-27,Mark Carney Reacts to Donald Trump Canada Snub,Mark Carney said his country stood ready to restart trade talks with the U.S. after President Donald Trump said he would not meet with the Canadian prime…,https://biztoc.com/x/6f662df264961887?ref=ff,upstract.com,International Relations,239
2025-10-27,When will Trump's tariff increase hit Canada? Not even he knows,"As Canadian officials scramble to find clarity on Donald Trump's social media post announcing a 10 per cent hike to what he called ""the Tariff on Canada,"" the U.S. president himself appears to be thin on the details.",https://www.cbc.ca/news/world/trump-tariff-canada-10-per-cent-i-dont-know-9.6954578,CBC News,Trade Disputes,245
2025-10-27,"Federal budget to boost union training program, debut 5-year PSW tax credit",The federal government’s upcoming budget will expand a union training program and introduce a refundable tax credit for personal support workers.,https://www.cbc.ca/news/politics/politics-federal-budget-union-training-psw-9.6954783,CBC News,Federal Budget,251
2025-10-27,"Can Canada build a new oil pipeline? That's 'overfocusing' on a 'hypothetical,' energy minister says",Tim Hodgson says the question of whether there is a business case for a new bitumen pipeline in Canada will be up to the private sector.,https://nationalpost.com/news/politics/can-canada-build-a-new-oil-pipeline-thats-overfocusing-on-a-hypothetical-energy-minister-says,National Post,National Development,257
2025-10-27,"Ford defends Ontario's anti-tariff ad that angered Trump, says he achieved his goal",Premier Doug Ford says he achieved his goal with an advertisement by the Ontario government that uses the former U.S. president Ronald Reagan's own words to send an anti-tariff message to American audiences.,https://www.cbc.ca/news/canada/toronto/ford-defends-ontario-anti-tariff-campaign-9.6955261,CBC News,Trade Disputes,263
2025-10-27,CUPE: New federal plan for front-line responders excludes RCMP operators,Ottawa — CUPE 104 is calling on the federal government to immediately correct a grave omission in its recent announcement to recognize public safety occupations under the Public Service Superannuation Act (PSSA). Despite being the first point of contact for C…,https://financialpost.com/pmn/business-wire-news-releases-pmn/cupe-new-federal-plan-for-front-line-responders-excludes-rcmp-operators,Financial Post,Political Party Affair,269
2025-10-28,Which industry in Alberta is most threatened by tariffs?,"As tariffs make an impact, Canadian industries are finding themselves competing for priority in trade negotiations. Here are the industries under threat in each province.",https://www.cbc.ca/news/politics/tariffs-industries-canadian-provinces-9.6950272,CBC News,Unrelated News,275
2025-10-28,Prime Minister Carney says he will meet Chinese President Xi at APEC,Prime Minister Mark Carney plans to meet with Chinese President Xi Jinping while the pair are at the Asia Pacific Economic Cooperation forum later this week in South Korea.,https://www.nationalobserver.com/2025/10/28/news/prime-minister-carney-says-he-will-meet-chinese-president-xi-apec,National Observer,International Relations,281
2025-10-28,Bank of Canada Expected to Cut Ahead of Carney’s Budget,"The Bank of Canada is likely to cut interest rates to help an economy that’s suffering more damage from US tariffs, even as Prime Minister Mark Carney finalizes plans for a stimulative budget to boost growth.",https://financialpost.com/pmn/business-pmn/bank-of-canada-expected-to-cut-ahead-of-carneys-budget,Financial Post,Federal Budget,287
2025-11-04,Canada's Mark Carney promises 'bold' first federal budget,"The prime minister has promised ""generational investments"" and warned of ""sacrifices"" as he seeks to transform an economy upended by US tariffs.",https://www.bbc.com/news/articles/cn7e2vgmxv8o?at_medium=RSS&at_campaign=rss,bbc.co.uk,Federal Budget,293
2025-11-10,Legault presents economic plan to help Quebec weather U.S. tariffs,Quebec Premier François Legault is warning the province may be heading toward a recession and says he has revised his economic priorities to help Quebec weather the storm caused by U.S. President Donald Trump's tariffs.,https://www.cbc.ca/news/canada/montreal/legault-economic-vision-2025-9.6973904,CBC News,Unrelated News,299
2025-11-11,"Mines, energy projects latest to be added to major projects list, sources say","Prime Minister Mark Carney is expected to add at least four mining and energy developments to the government’s major projects list on Thursday, two sources told The Globe and Mail.  The sources said the list includes the Ksi Lisims liquefied natural gas proje…",https://biztoc.com/x/0e636727709cabef,Biztoc.com,National Development,305
2025-11-12,Business Brief: The rise of Prince Rupert,Good morning. Prime Minister Mark Carney is set to announce the next round of “Major Projects Office” approvals from Prince Rupert – a northern B.C. port serving as a growing stage for Ottawa’s infrastructure push.  The government is expected to add at least …,https://biztoc.com/x/b262502d8f08ecbe,Biztoc.com,National development,311
2025-11-12,"Zelensky thanks UK, Canada for Russia sanctions","Ukrainian President Volodymyr Zelensky thanked the prime ministers of the United Kingdom and Canada, Keir Starmer and Mark Carney, for the countries' latest sanction packs against Russia.In two posts ...",https://biztoc.com/x/0bb6d8c2fe9a2eaa,Biztoc.com,International Relations,317
2025-11-12,Major Power Transmission Line to Be Fast-Tracked by Carney,"Prime Minister Mark Carney will name a major electricity transmission line in British Columbia to his list of nation-building projects eligible to be fast-tracked, according to people familiar with the matter.",https://financialpost.com/pmn/business-pmn/major-power-transmission-line-to-be-fast-tracked-by-carney,Financial Post,National Development,323
2025-11-13,Brazil Tries to Keep Climate Cooperation Alive,"At COP30, the global energy transition is moving forward without the United States.",http://foreignpolicy.com/2025/11/13/cop30-un-climate-conference-brazil-us-china-lula-trump-belem/,Foreign Policy,International Relations,329
2025-11-13,"Carney bets on more critical minerals mining, electricity and liquified natural gas in latest batch of major projects","Carney announced Thursday that his government had selected three more critical mining projects across Ontario, Quebec, and New Brunswick",https://nationalpost.com/news/politics/carney-bets-on-more-critical-minerals-mining-electricity-and-liquified-natural-gas-in-latest-batch-of-major-projects,National Post,National Development,335
2025-11-13,Carney’s Projects Czar Pledges to Help Firms Compete Globally,"The Canadian government will accelerate the development of mining and energy projects so that companies are better able to compete in markets worldwide, said the official in charge of shepherding new proposals through to construction.",https://financialpost.com/pmn/business-pmn/carneys-projects-czar-pledges-to-help-firms-compete-globally,Financial Post,National Development,341
2025-11-14,SF Sketchfest Unveils 2026 Lineup,"SF Sketchfest has unveiled the lineup for its 23rd edition, taking place at venues across San Francisco from January 15–February 1, 2026. Featuring a mix of sketch, stand-up, improv, music, tributes, live podcasts, and special events, the festival will this y…",http://deadline.com/2025/11/sf-sketchfest-lineup-2026-unveiled-1236616569/,Deadline,Unrelated News,347
2025-11-14,Can northwest B.C.'s infrastructure handle Ottawa's 4 'nation-building' projects?,"Some local leaders in northwestern B.C. say Ottawa’s decision to fast-track two massive energy projects will boost the region’s economy — but stress that cities like Terrace and Prince Rupert need urgent, long-term investments to handle the growth.",https://www.cbc.ca/news/canada/british-columbia/nation-building-projects-northwest-bc-9.6978632,CBC News,National Development,353
2025-11-14,"No evidence of systemic issue on Keystone system following N.D. spill, South Bow says","CALGARY — South Bow Corp. aims to gradually return its Keystone pipeline to normal operations next year, as the system continues to run at reduced pressure following an April spill in North Dakota. Chief operating officer Richard Prior says the company has se…",https://financialpost.com/pmn/no-evidence-of-systemic-issue-on-keystone-system-following-n-d-spill-south-bow-says,Financial Post,National Development,359
2025-11-14,"Major Projects Office to take on new proposals at more gradual pace, minister says","Ottawa is ending its practice of announcing several large industrial developments with fanfare on a single day, and now expects its Major Projects Office will take on individual proposals at a more gradual pace, Natural Resources Minister Tim Hodgson says. Pr…",https://biztoc.com/x/cd797284b1284121,Biztoc.com,National Development,365
2025-11-15,"With the rise of AI ‘slop,’ Canada’s creative sector sets sights on licensing regime","OTTAWA — On Nov. 1, Xania Monet appeared for the first time on the Adult R&B Billboard chart. One week later, the song ‘Walk my Walk’ by Breaking Rust topped Billboard’s country digital song sales chart. While both performers look and sound human, they’re not…",https://financialpost.com/pmn/with-the-rise-of-ai-slop-canadas-creative-sector-sets-sights-on-licensing-regime,Financial Post,Unrelated News,371
2025-11-16,"Prime Minister Mark Carney in Winnipeg for Grey Cup, Louis Riel ceremony","Breaking News, Sports, Manitoba, Canada",https://www.winnipegfreepress.com/canada/2025/11/16/prime-minister-mark-carney-in-winnipeg-for-grey-cup-louis-riel-ceremony,winnipegfreepress.com,National Development,377
2025-11-17,"Mark Carney booed during Grey Cup in Winnipeg. 'We were cheered as well,' PM says",The prime minster posted his own video of the event on social media but replaced audio of the crowd with music,https://nationalpost.com/news/mark-carney-booed-grey-cup-winnipeg,National Post,Cultural Events,383
2025-10-20,Liberals urged to cut Old Age Security spending in upcoming budget,A national generational fairness group is calling on the Carney Liberals to start with the biggest line item when deciding where to cut...,https://nationalpost.com/news/canada/liberals-urged-to-cut-old-age-security-spending-in-upcoming-budget,National Post,Federal Budget,389
2025-10-20,Carney government could face legal challenges on climate,"The Carney govenrment's rollbacks of climate policy could pose some legal risk at both the domestic and international level, according to Charlie Hatt at Ecojustice.",https://www.nationalobserver.com/2025/10/20/news/carney-legal-challenges-climate,National Observer,Political Commentary,395
