line_number,publishedAt,title,description,url,source_name,topic
6,2022-10-04,Today in Canada’s Political History: Mark Carney appointed Governor of the Bank of Canada,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2022/10/04/today-in-canadas-political-history-mark-carney-appointed-governor-of-the-bank-of-canada/,nationalnewswatch.com,Historical Background
12,2023-09-28,Mark Carney and how we all win,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/09/28/mark-carney-and-how-we-all-win/,nationalnewswatch.com,Early Political Speculation
18,2023-11-09,Can Mark Carney save Justin Trudeau?,National Newswatch: Canada's most comprehensive site for political news and views. Make it a daily habit.,https://www.nationalnewswatch.com/2023/11/09/can-mark-carney-save-justin-trudeau/,nationalnewswatch.com,Early Political Speculation
24,2024-07-28,"With Trudeau's Liberals in trouble, is Mark Carney the answer?","With the Liberals' consistently poor polling numbers, and rumours Prime Minister Justin Trudeau could be working to get former Bank of Canada governor Mark Carn...",https://www.ctvnews.ca/politics/with-trudeau-s-liberals-in-trouble-is-mark-carney-the-answer-1.6979158,ctvnews.ca,Early Political Speculation
30,2024-09-10,Mark Carney sidesteps questions about political future after speaking with Liberal MPs,Former Bank of Canada governor Mark Carney sidestepped questions about his political ambitions on Tuesday while saying he was honoured to be asked to advise the...,https://www.cbc.ca/news/politics/mark-carney-liberal-trudeau-election-1.7319098?cmp=rss,cbc.ca,Leadership Campaign
36,2025-01-14,"Teasing a Liberal leadership bid, Mark Carney talks change, economy with The Daily Show","Mark Carney has appeared on The Daily Show with Jon Stewart to talk about what kind of a Liberal leadership candidate he would make, Conservative Leader Pierre ...",https://www.cbc.ca/news/politics/mark-carney-jon-stewart-daily-show-1.7430594?cmp=rss,cbc.ca,Leadership Campaign
42,2025-01-16,Mark Carney pitches himself as crisis manager in bid to lead Canada,Mark Carney kicked off his bid to replace Justin Trudeau as the head of Canada’s Liberal Party Thursday. Read more,https://financialpost.com/news/economy/carney-starts-bid-to-lead-canada-in-his-hometown-as-attacks-ramp-up,financialpost.com,Leadership Campaign
48,2025-01-28,Mark Carney has Canada’s Conservatives running scared,"Is it Carbon Tax Carney? Canapé Carney? Redistribution Carney? Right now, Canada's Conservatives can't even settle on a nickname for their likely opponent in t...",https://www.nationalobserver.com/2025/01/28/opinion/mark-carney-canada-conservatives-running-scared,nationalobserver.com,Leadership Campaign
54,2025-02-16,Mark Carney says former prime minister Stephen Harper asked him to be finance minister,Liberal leadership candidate and former Bank of Canada governor Mark Carney said on Sunday that former prime minister Stephen Harper asked him to join his cabin...,https://www.cbc.ca/news/politics/mark-carney-stephen-harper-1.7460897?cmp=rss,cbc.ca,Leadership Campaign
60,2025-02-26,Tories demand Mark Carney comply with conflict of interest rules - National,The federal Conservatives have demanded that Liberal leadership candidate Mark Carney comply with the conflict of interest rules that apply to MPs and cabinet m...,https://globalnews.ca/news/11050623/mark-carney-parliament-conflict-of-interest-rules/,globalnews.ca,Leadership Campaign
66,2025-03-09,"Mark Carney, ex-central banker, to become Canada's next prime minister",Former central banker Mark Carney will become Canada’s next prime minister after the governing Liberal Party elected him its leader Sunday as the country deal...,https://www.nbcnews.com/news/world/mark-carney-ex-central-banker-become-canadas-prime-minister-rcna195560,nbcnews.com,Leadership and Transition
72,2025-03-10,"Canadian Jews Troubled as Mark Carney Succeeds Trudeau, Expected to Maintain Anti-Israel Stance","If one of the requirements for Liberal leadership contenders is that they exhibit an anti-Israeli bias, then Mark Carney has delivered.",https://www.jewishpress.com/news/global/canada/canadian-jews-troubled-as-mark-carney-succeeds-trudeau-expected-to-maintain-anti-israel-stance/2025/03/10/,jewishpress.com,Political Commentary
78,2025-03-10,"Meet Mark Carney, Canada's inevitable, improbable next prime minister","He has never held elected office but the former back-up goalie and global banker from the N.W.T., is ready for his biggest challenge yet.",https://nationalpost.com/news/mark-carney-canadas-next-prime-minister,nationalpost.com,Leadership and Transition
84,2025-03-10,"Transition will happen fast, says Liberal Leader Mark Carney","In the coming days, Carney will need to be sworn in as prime minister, name a new cabinet and sort out his plans for the coming federal election.",https://www.nationalobserver.com/2025/03/10/news/transition-liberal-leader-mark-carney,nationalobserver.com,Leadership and Transition
90,2025-03-13,Is Mark Carney a Climate Radical?,The Nation Magazine,https://www.thenation.com/article/environment/canada-mark-carney-climate/,thenation.com,Political Commentary
96,2025-03-14,Leaders react to Mark Carney being sworn in as prime minister,Here's how some leaders and politicians are reacting to Mark Carney's appointment as Canada's new prime minister.,https://toronto.citynews.ca/2025/03/14/global-reaction-to-mark-carney-being-sworn-in-as-prime-minister/,680news.com,Leadership and Transition
102,2025-03-16,Prime Minister Mark Carney marches in Montreal's St. Patrick's Day parade,"Carney, who was sworn in as prime minister on Friday, was joined by several Quebec-based cabinet ministers as he shook hands and waved to thousands gathered alo...",https://www.cbc.ca/news/canada/montreal/mark-carney-montreal-st-patricks-day-march-1.7485191?cmp=rss,cbc.ca,Political Commentary
108,2025-03-20,Mark Carney expected to call federal election on Sunday,"Ahead of the expected election call, Trump expressed his preference for a Liberal victory under Carney over the opposition Conservatives.",https://toronto.citynews.ca/2025/03/20/canada-federal-election-april-28-mark-carney-liberals/,680news.com,General Election
114,2025-03-23,Mark Carney to run for seat in Ottawa riding,"This will be the first time for Carney to run in a federal election, he has never held elected office.",https://toronto.citynews.ca/2025/03/22/mark-carney-to-run-for-seat-in-ottawa-riding/,680news.com,General Election
120,2025-03-25,‘Too Afraid’: Canadian PM Mark Carney Mocked for Rejecting French-Language Debate,Unelected Canadian Prime Minister Mark Carney declined to participate in a French-language debate against his election rivals.,https://www.breitbart.com/politics/2025/03/25/too-afraid-canadian-pm-mark-carney-mocked-rejecting-french-language-debate/,breitbart.com,General Election
126,2025-04-08,Liberal Leader Mark Carney promises year-long measures to help retirees cope with tariffs,"Liberal Leader Mark Carney kicked off his Western campaigning in Victoria, B.C. this week.",https://www.cbc.ca/news/canada/british-columbia/liberal-carney-retirees-tariffs-1.7504800?cmp=rss,cbc.ca,General Election
132,2025-04-29,Canada: Liberals led by Mark Carney projected to win election,"Preliminary figures released by Elections Canada show the Liberals will win a fourth term in office, though it remains unclear whether it will be a majority or ...",https://www.israelnationalnews.com/news/407552,israelnationalnews.com,General Election
138,2025-04-29,"Mark Carney wins, a country divided","Mark Carney will be the next prime minister of Canada, but now faces the prospect of governing a country still facing serious political divides.",https://www.cbc.ca/radio/frontburner/mark-carney-wins-a-country-divided-1.7521397?cmp=rss,cbc.ca,General Election
144,2025-05-07,Mark Carney wasn't made for TV — thank goodness,Political success in today’s hyper-televised environment has more to do with camera performance than it does with policy acumen. Donald Trump is the apotheosi...,https://www.nationalobserver.com/2025/05/07/analysis/mark-carney-trump-tv,nationalobserver.com,Political Commentary
150,2025-05-22,Prime Minister Mark Carney sworn in as MP for Ottawa riding of Nepean,Prime Minister Mark Carney has been officially sworn in as MP for the Ottawa riding of Nepean.,https://toronto.citynews.ca/2025/05/22/carney-sworn-in-nepean-mp-parliament/,680news.com,Leadership and Transition
156,2025-06-17,"PM Modi Meets Mark Carney At G7, Calls India-Canada Ties ‘Important In Many Ways’","PM Modi At G7 Summit: PM Modi said, “India and Canada will make progress in many sectors in the coming times.""",https://www.news18.com/india/pm-modi-meets-mark-carney-at-g7-calls-india-canada-ties-important-in-many-ways-9391091.html,news18.com,Foreign Relations
162,2025-07-28,Stephen Harper advises Mark Carney to pull back from U.S,Stephen Harper calls himself the most pro-American prime minister in Canadian history. But the advice he gave recently to ?...,https://biztoc.com/x/bee0ccfdf50b3254?ref=ff,upstract.com,Political Commentary
168,2025-08-20,Valérie Plante says she and Prime Minister Mark Carney share the same priorities,"Breaking News, Sports, Manitoba, Canada",https://www.winnipegfreepress.com/canada/2025/08/20/valerie-plante-says-she-and-prime-minister-mark-carney-share-the-same-priorities,winnipegfreepress.com,Foreign Relations
174,2025-09-17,Canadian Prime Minister Mark Carney Makes Official Visit to Mexico,"On September 16, 2025, Canadian Prime Minister Mark Carney officially confirmed his upcoming visit to Mexico City, scheduled for September 18–19, 2025, markin...",https://theyucatantimes.com/2025/09/canadian-prime-minister-mark-carney-makes-official-visit-to-mexico/,theyucatantimes.com,Foreign Relations
180,2025-10-14,Mark Carney Caught on Hot Mic Confronting Donald Trump Over Embarrassing Speech Blunder,Donald Trump made yet another blunder during his speech in Egypt. Mark Carney immediately rectified him.,https://www.inquisitr.com/mark-carney-caught-on-hot-mic-confronting-donald-trump-over-embarrassing-speech-blunder,inquisitr.com,Trade Disputes
186,2025-10-24,Blue Jays Anti-Tariff Ad Gets World Series Update After Trump Threat,Recent Toronto Blue Jays broadcasts have featured a political ad that caught the attention of President Trump.,https://www.forbes.com/sites/peterchawaga/2025/10/24/blue-jays-anti-tariff-ad-gets-world-series-update-after-trump-threat/,Forbes,Trade Disputes
192,2025-10-24,Canada Launches Anti-Dumping Probe of Chinese Truck Body Imports,Canada is launching an anti-dumping investigation into truck body imports from China just as Prime Minister Mark Carney is trying to ease trade tensions with the east Asian country.,https://financialpost.com/pmn/business-pmn/canada-launches-anti-dumping-probe-of-chinese-truck-body-imports,Financial Post,Trade Disputes
198,2025-10-25,"As a leader in finance, Mark Carney said climate action was critical. Where is that urgency now?","Mark Carney spent a decade as one of the most credible voices on climate action and the economy. Now as prime minister, he is scrapping emissions reductions policies, backing LNG projects and talking pipelines. As Canadians wait for details of his coming ‘cli…",https://www.cbc.ca/news/politics/carneyclimatecred-9.6950761,CBC News,Political Commentary
204,2025-10-25,Trump terminates all Canada trade talks,"U.S. President Donald Trump said on Thursday that all trade negotiations with Canada were terminated because a ""FAKE"" Canadian advertisement was designed to influence the U.S. Supreme Court's decision.",https://www.globalsecurity.org/wmd/library/news/canada/2025/canada-251024-pdo01.htm,Globalsecurity.org,Trade Disputes
210,2025-10-25,Trump’s Attack on Ontario’s Reagan Ad Helped Amplify Its Reach,"In the global portfolio of political ads that changed history, a handful stand out.",https://financialpost.com/pmn/business-pmn/trumps-attack-on-ontarios-reagan-ad-helped-amplify-its-reach,Financial Post,Trade Disputes
216,2025-10-25,Trump raises tariffs on Canadian goods in response to Reagan advert,"He had already walked away from trade talks with Canada on Thursday after the commercial, which he called a ""fraud"", initially aired.",https://www.bbc.com/news/articles/cx2ljgrm78zo,BBC News,Trade Disputes
222,2025-10-25,Trump hikes tariffs on Canada by another 10% in response to anti-tariff ad,The move comes even though Ontario's leader said the anti-tariff ad would be halted beginning Monday.,https://www.cbsnews.com/news/trump-hiking-tariffs-canada-10-percent-ontario-ad/,CBS News,Trade Disputes
228,2025-10-25,Trump threatens Canada with 10% tariff increase for not pulling down critical ad sooner,President Donald Trump said on Saturday that he plans to hike tariffs on imports of Canadian goods by an extra 10% because of an anti-tariff television ad aired by the province of Ontario.,https://www.pbs.org/newshour/politics/trump-threatens-canada-with-10-tariff-increase-for-not-pulling-down-critical-ad-sooner,PBS,Trade Disputes
234,2025-10-26,US and China say a trade deal is drawing closer as Trump and Xi ready for a high-stakes meeting,U.S. and Chinese officials say a trade deal between the world’s two largest economies is drawing closer,https://abcnews.go.com/Business/wireStory/us-china-trade-deal-drawing-closer-trump-xi-126874265,ABC News,Trade Disputes
240,2025-10-27,"China presses for stronger economic, trade ties after Trump departs ASEAN summit",KUALA LUMPUR (Reuters) -China pressed on Monday for stronger economic ties and more open trade at a regional summit in Malaysia dominated by the shadow of...,https://www.yahoo.com/news/articles/china-presses-stronger-economic-trade-082027034.html,Yahoo Entertainment,Trade Disputes
246,2025-10-27,Canada’s Carney Says He Will Meet With China’s Xi in Korea,"Canada’s Prime Minister Mark Carney said he plans to meet his Chinese counterpart Xi Jinping later this week when both leaders are at a summit in South Korea, aiming to firm-up relations with the world’s second biggest economy while long-standing ties with th…",https://financialpost.com/pmn/business-pmn/canadas-carney-says-he-will-meet-with-chinas-xi-in-korea,Financial Post,Foreign Relations
252,2025-10-27,Green Acres Is The Place For Scott Bessent,Who gets allergic smelling hay? Not this guy!,https://www.wonkette.com/p/green-acres-is-the-place-for-scott,Wonkette.com,Unrelated News
258,2025-10-27,"Canada Moves to Ban Non-Competes at Banks, Other Federally Regulated Workplaces","The Canadian government will propose legal changes to ban non-compete agreements in employment contracts at federally regulated workplaces, including banks.",https://financialpost.com/pmn/business-pmn/canada-moves-to-ban-non-competes-at-banks-other-federally-regulated-workplaces,Financial Post,Government Policy
264,2025-10-27,Carney hoping for a relations reset in meeting with Chinese president,Prime Minister Mark Carney says he'll meet with Chinese President Xi Jinping at this week's APEC summit — a get-together that the prime minister hopes will reset the relationship between the two countries.,https://www.cbc.ca/news/politics/canada-china-carney-xi-trade-9.6955083,CBC News,Foreign Relations
270,2025-10-27,"Who is Doug Ford, the Canadian politician pushing Trump's buttons?","In his first campaign to lead Ontario, Ford started out as a Trump-style populist. But tariffs changed his view and he is now a consistent thorn in the U.S. president's side.",https://www.npr.org/2025/10/27/nx-s1-5587701/doug-ford-canada-tariffs-ad-trump,NPR,Trade Disputes
276,2025-10-27,Doug Ford says Mark Carney and his chief of staff knew about Ontario anti-tariff ad before it aired,Doug Ford said the Prime Minister Mark Carney and his chief of staff watched an Ontario anti-tariff ad featuring Ronald Reagan before it was aired.,https://nationalpost.com/news/canada/doug-ford-tariff-ad-mark-carney-donald-trump,National Post,Trade Disputes
282,2025-10-28,"Diane Francis: To increase trade, get politicians out of the way",Mark Carney believes economic growth can be generated politically. But this can only happen if the government gets out of the way. Read here,https://financialpost.com/diane-francis/diane-francis-increase-trade-get-politicians-out-way,Financial Post,Trade Disputes
288,2025-10-28,Prime Minister Carney's visit to Singapore focuses on attracting investment to Canada,"Prime Minister Mark Carney travelled to Singapore on Tuesday, as his first official visit to Asia enters its second leg.",https://www.nationalobserver.com/2025/10/28/news/prime-minister-carneys-visit-singapore-focuses-attracting-investment-canada,National Observer,Foreign Relations
294,2025-10-28,"Canada more popular than Donald Trump in the U.S., CNN analyst declares",An analysis of polling data by CNN indicates that Canada enjoys more popularity among Americans than does U.S. President Donald Trump.,https://nationalpost.com/news/canada/canada-trump-popularity,National Post,Trade Disputes
300,2025-11-10,Prime Minister Mark Carney in Fredericton to talk about 'Buy Canadian' policy,Prime Minister Mark Carney is in Fredericton Monday to highlight the government's new,https://www.cbc.ca/news/canada/new-brunswick/mark-carney-buy-canadian-fredericton-9.6973197?cmp=rss,cbc.ca,Government Policy
306,2025-11-10,Anand says U.S. secretary Rubio has avoided '51st state' chatter as G7 meeting looms,Foreign Affairs Minister Anita Anand says U.S. Secretary of State Marco Rubio hasn't repeated President Donald Trump's musings about making Canada the 51st state during their conversations.,https://www.cbc.ca/news/politics/anand-rubio-51st-state-9.6974082,CBC News,Trade Disputes
312,2025-11-12,U.S. tourism faces $5.7B US loss as Canadians continue to stay home,"Many Canadians continue to boycott travel to the United States, and the U.S. economy is paying the price. A U.S. Travel Association report forecasts a 3.2 per cent decline in international tourism spending in the country for 2025, a loss of $5.7 billion US co…",https://www.cbc.ca/news/business/u-s-canadian-travel-loss-9.6974240,CBC News,Trade Disputes
318,2025-11-12,"French foreign minister, at G7 meeting in Canada, says U.S. boat strikes violate international law","During a G7 meeting in Ontario, France's foreign minister said the deadly boat strikes in the Caribbean carried out by the United States since early September violate international law. Colombia, California's governor and the Washington Post also weighed in o…",https://www.cbc.ca/news/world/france-us-boat-strikes-9.6975606,CBC News,Foreign Relations
324,2025-11-12,"‘Spam’ videos use actors to spread fake Canadian political, western separatism content | Globalnews.ca",Accounts with hundreds of thousands of views have published misleading Canadian political commentary using 'hosts' who advertise their services as voiceover artists or presenters.,http://globalnews.ca/news/11523062/canadian-ai-video-actors-fake-news/,Global News,Unrelated News
330,2025-11-13,Ksi Lisims LNG’s expected major project status puts spotlight on First Nations dispute,The expected addition of the Nisga’a Nation-backed Ksi Lisims LNG venture to the federal government’s list of major projects puts Ottawa in the thick of the growing challenge over how to develop infrastructure opposed by neighbouring Indigenous groups. Prime …,https://biztoc.com/x/d3ce01ad886c7747,Biztoc.com,Infrastructure Projects
336,2025-11-13,Canadians Still Avoiding Travel to U.S. amid President Trump's Tariffs,Many Canadians are still avoiding travel to the United States after President Donald Trump imposed tariffs to protect his own nation. The post Canadians Still Avoiding Travel to U.S. amid President Trump’s Tariffs appeared first on Breitbart.,https://www.breitbart.com/economy/2025/11/13/canadians-still-avoiding-travel-to-u-s-amid-president-trumps-tariffs/,Breitbart News,Trade Disputes
342,2025-11-13,B.C. power line and Ksi Lisims LNG added to federal government’s major-projects list.,"TERRACE, B.C., CANADA — Two more projects under planning in British Columbia have been given nation-building status in a move by the federal government to amp up Canada’s economy. Standing with the backdrop of the Skeena Substation in Terrace, B.C., Prime Min…",https://financialpost.com/pmn/b-c-power-line-and-ksi-lisims-lng-added-to-federal-governments-major-projects-list,Financial Post,Infrastructure Projects
348,2025-11-13,N.B.’s Sisson Mine chosen as one of Carney's major projects,A long-delayed mine north of Fredericton has made the list of major national projects after urging from the New Brunswick government.,https://www.cbc.ca/news/canada/new-brunswick/sisson-mine-chosen-9.6978236,CBC News,Infrastructure Projects
354,2025-11-14,"India, Canada Deepen Energy, Mineral Ties Amid US Tariffs","India and Canada will work together to secure supply chains in critical minerals and clean energy, according to a joint statement, signaling a reset in bilateral ties amid trade tensions driven by U.S. policies.",https://financialpost.com/pmn/business-pmn/india-canada-deepen-energy-mineral-ties-amid-us-tariffs,Financial Post,Foreign Relations
360,2025-11-14,What you need to know about the six new nation-building projects on Carney’s list,Prime Minster Mark Carney announced six new projects he is recommending for fast-track approval. Here's what you need to know about them.,https://financialpost.com/commodities/mining/need-to-know-six-new-nation-building-projects-carney-list,Financial Post,Infrastructure Projects
366,2025-11-14,Carney wants to boost resource development. Canada's climate legacy hangs in the balance,"At the same time that Prime Minister Mark Carney was announcing a new tranche of major projects his government wants to fast-track, including a new gas export terminal, Canada’s representatives were trying to shore up the country’s climate reputation amongst …",https://www.cbc.ca/news/science/cop30-climate-carney-9.6979361,CBC News,Infrastructure Projects
372,2025-11-14,Calgary mayor looks to ban national flags at city hall; Palestinian group calls timing 'very hurtful',Calgary Mayor Jeromy Farkas says he's looking to put an end to the raising of national flags at city hall as a community association prepares to raise the Palestinian flag there for the first time.,https://www.cbc.ca/news/canada/calgary/jeromy-farkas-national-flags-city-hall-calgary-9.6979593,CBC News,Unrelated News
378,2025-11-15,The American Canadian Broadcasting Corporation,"Like many of us during these days of a frenetic, never-ending news cycle, I tend to watch a lot of news. But as of late, I’ve repeatedly noticed something that has left me scratching my gray head. Why is the Canadian Broadcasting Corporation (CBC) disproporti…",https://www.fairobserver.com/politics/the-american-canadian-broadcasting-corporation/,Fair Observer,Political Commentary
384,2025-11-16,Prime minister says Louis Riel's legacy 'helps to unite' Canada at event marking Métis leader's execution,Prime Minister Mark Carney laid a wreath at the grave of Louis Riel to mark the 140th anniversary of the Red River Métis leader's execution at a ceremony in Winnipeg on Sunday morning.,https://www.cbc.ca/news/canada/manitoba/winnipeg-louis-riel-mark-carney-9.6980906,CBC News,Political Commentary
390,2025-11-17,Canada’s Carney faces crucial vote on budget that could trigger election,"Bitcoin price today: remains near 6-mth low around $95k as Fed cut bets fade OTTAWA (Reuters) -Canadian Prime Minister Mark Carney faces a crucial test on Monday when Parliament votes on his first budget, where a defeat could trigger a second federal election…",https://biztoc.com/x/9ca97b20d819896e,Biztoc.com,Budget and Fiscal Policy
396,2025-10-20,Canadians grow gloomy on the economy as U.S. trade war persists,"Canadians are increasingly downbeat on the economy as a trade war with the U.S. grinds on, putting pressure on key industries. Read more.",https://financialpost.com/news/canadians-grow-economy-us-trade-war,Financial Post,Trade Disputes
